nr,deutsch,latein,region,status,confidence,matchId,matchName,triggerpoints
"87","Kleinfingergegensteller","Musculus opponens digiti minimi","Hand","fehlt","niedrig","","",""
"88","Wurmmuskeln der Hand","Musculi lumbricales manus","Hand","fehlt","niedrig","","",""
"89","Handrücken-Zwischenknochenmuskeln","Musculi interossei dorsales manus","Hand","fehlt","niedrig","","",""
"90","Hohlhand-Zwischenknochenmuskeln","Musculi interossei palmares","Hand","fehlt","niedrig","","",""
"91","Großer Lendenmuskel","Musculus psoas major","Hüfte / Becken","fehlt","niedrig","","",""
"92","Kleiner Lendenmuskel","Musculus psoas minor","Hüfte / Becken","fehlt","niedrig","","",""
"93","Darmbeinmuskel","Musculus iliacus","Hüfte / Becken","fehlt","niedrig","","",""
"94","Großer Gesäßmuskel","Musculus gluteus maximus","Gesäß / Hüfte","vorhanden","hoch","gluteus-maximus","M. gluteus maximus","1"
"95","Mittlerer Gesäßmuskel","Musculus gluteus medius","Gesäß / Hüfte","vorhanden","hoch","gluteus-medius","M. gluteus medius","2"
"96","Kleiner Gesäßmuskel","Musculus gluteus minimus","Gesäß / Hüfte","vorhanden","hoch","gluteus-minimus","M. gluteus minimus","2"
"97","Schenkelbindenspanner","Musculus tensor fasciae latae","Hüfte / Oberschenkel","vorhanden","hoch","tensor-fasciae-latae","M. tensor fasciae latae","1"
"98","Birnenförmiger Muskel","Musculus piriformis","Gesäß / Hüfte","vorhanden","hoch","piriformis","M. piriformis","1"
"99","Innerer Hüftlochmuskel","Musculus obturatorius internus","Becken / Hüfte","fehlt","niedrig","","",""
"100","Äußerer Hüftlochmuskel","Musculus obturatorius externus","Becken / Hüfte","fehlt","niedrig","","",""
"101","Oberer Zwillingsmuskel","Musculus gemellus superior","Gesäß / Hüfte","fehlt","niedrig","","",""
"102","Unterer Zwillingsmuskel","Musculus gemellus inferior","Gesäß / Hüfte","fehlt","niedrig","","",""
"103","Quadratischer Schenkelmuskel","Musculus quadratus femoris","Gesäß / Hüfte","fehlt","niedrig","","",""
"104","Schneidermuskel","Musculus sartorius","Oberschenkel","fehlt","niedrig","","",""
"105","Gerader Oberschenkelmuskel","Musculus rectus femoris","Oberschenkel","fehlt","niedrig","","",""
"106","Äußerer breiter Oberschenkelmuskel","Musculus vastus lateralis","Oberschenkel","fehlt","niedrig","","",""
"107","Innerer breiter Oberschenkelmuskel","Musculus vastus medialis","Oberschenkel","fehlt","niedrig","","",""
"108","Mittlerer breiter Oberschenkelmuskel","Musculus vastus intermedius","Oberschenkel","vorhanden","hoch","vastus-intermedius","M. vastus intermedius","1"
"109","Kniegelenkmuskel","Musculus articularis genus","Oberschenkel / Knie","fehlt","niedrig","","",""
"110","Kamm-Muskel","Musculus pectineus","Hüfte / Oberschenkel","fehlt","niedrig","","",""
"111","Langer Schenkelanzieher","Musculus adductor longus","Oberschenkel","fehlt","niedrig","","",""
"112","Kurzer Schenkelanzieher","Musculus adductor brevis","Oberschenkel","fehlt","niedrig","","",""
"113","Großer Schenkelanzieher","Musculus adductor magnus","Oberschenkel","fehlt","niedrig","","",""
"114","Schlanker Muskel","Musculus gracilis","Oberschenkel","fehlt","niedrig","","",""
"115","Zweiköpfiger Oberschenkelmuskel","Musculus biceps femoris","Oberschenkel","fehlt","niedrig","","",""
"116","Halbsehnenmuskel","Musculus semitendinosus","Oberschenkel","fehlt","niedrig","","",""
"117","Halbmembranmuskel","Musculus semimembranosus","Oberschenkel","fehlt","niedrig","","",""
"118","Vorderer Schienbeinmuskel","Musculus tibialis anterior","Unterschenkel","fehlt","niedrig","","",""
"119","Langer Großzehenstrecker","Musculus extensor hallucis longus","Unterschenkel / Fuß","fehlt","niedrig","","",""
"120","Langer Zehenstrecker","Musculus extensor digitorum longus","Unterschenkel / Fuß","fehlt","niedrig","","",""
"121","Dritter Wadenbeinmuskel","Musculus fibularis tertius","Unterschenkel / Fuß","fehlt","niedrig","","",""
"122","Langer Wadenbeinmuskel","Musculus fibularis longus","Unterschenkel / Fuß","fehlt","niedrig","","",""
"123","Kurzer Wadenbeinmuskel","Musculus fibularis brevis","Unterschenkel / Fuß","fehlt","niedrig","","",""
"124","Zweiköpfiger Wadenmuskel","Musculus gastrocnemius","Unterschenkel / Wade","fehlt","niedrig","","",""
"125","Schollenmuskel","Musculus soleus","Unterschenkel / Wade","fehlt","niedrig","","",""
"126","Fußsohlenmuskel","Musculus plantaris","Unterschenkel / Wade","fehlt","niedrig","","",""
"127","Kniekehlenmuskel","Musculus popliteus","Knie / Unterschenkel","fehlt","niedrig","","",""
"128","Hinterer Schienbeinmuskel","Musculus tibialis posterior","Unterschenkel / Fuß","fehlt","niedrig","","",""
"129","Langer Zehenbeuger","Musculus flexor digitorum longus","Unterschenkel / Fuß","fehlt","niedrig","","",""
"130","Langer Großzehenbeuger","Musculus flexor hallucis longus","Unterschenkel / Fuß","fehlt","niedrig","","",""
"131","Kurzer Zehenstrecker","Musculus extensor digitorum brevis","Fuß","fehlt","niedrig","","",""
"132","Kurzer Großzehenstrecker","Musculus extensor hallucis brevis","Fuß","fehlt","niedrig","","",""
"133","Großzehenabspreizer","Musculus abductor hallucis","Fuß","fehlt","niedrig","","",""
"134","Kurzer Zehenbeuger","Musculus flexor digitorum brevis","Fuß","fehlt","niedrig","","",""
"135","Kleinzehenabspreizer","Musculus abductor digiti minimi (pedis)","Fuß","fehlt","niedrig","","",""
"136","Quadratischer Sohlenmuskel","Musculus quadratus plantae","Fuß","fehlt","niedrig","","",""
"137","Wurmmuskeln des Fußes","Musculi lumbricales pedis","Fuß","fehlt","niedrig","","",""
"138","Kurzer Großzehenbeuger","Musculus flexor hallucis brevis","Fuß","fehlt","niedrig","","",""
"139","Großzehenanzieher","Musculus adductor hallucis","Fuß","fehlt","niedrig","","",""
"140","Kurzer Kleinzehenbeuger","Musculus flexor digiti minimi brevis (pedis)","Fuß","fehlt","niedrig","","",""
"141","Fußrücken-Zwischenknochenmuskeln","Musculi interossei dorsales pedis","Fuß","fehlt","niedrig","","",""
"142","Fußsohlen-Zwischenknochenmuskeln","Musculi interossei plantares","Fuß","fehlt","niedrig","","",""
"143","Beckenbodenheber","Musculus levator ani","Beckenboden","fehlt","niedrig","","",""
"144","Steißbeinmuskel","Musculus coccygeus","Beckenboden","fehlt","niedrig","","",""
"145","Äußerer Afterschließmuskel","Musculus sphincter ani externus","Beckenboden","fehlt","niedrig","","",""
"146","Tiefe quere Dammmuskulatur","Musculus transversus perinei profundus","Beckenboden","fehlt","niedrig","","",""
"147","Oberflächlicher querer Dammmuskel","Musculus transversus perinei superficialis","Beckenboden","fehlt","niedrig","","",""
"148","Sitzbein-Schwellkörper-Muskel","Musculus ischiocavernosus","Beckenboden","fehlt","niedrig","","",""
"149","Schwellkörpermuskel","Musculus bulbospongiosus","Beckenboden","fehlt","niedrig","","",""
"150","Äußerer Harnröhrenschließmuskel","Musculus sphincter urethrae externus","Beckenboden","fehlt","niedrig","","",""
