"id","status","name","bodyArea","triggerpoints_before","triggerpoints_after","sourcePage"
"flexor-hallucis-longus","created","Musculus flexor hallucis longus","Unterschenkel / Fuß","0","0","54"
"gastrocnemius","created","Musculus gastrocnemius","Unterschenkel / Wade","0","0","32"
"soleus","created","Musculus soleus","Unterschenkel / Wade","0","0","32"
"plantaris","created","Musculus plantaris","Unterschenkel / Wade","0","0","32"
"popliteus","created","Musculus popliteus","Knie / Unterschenkel","0","0","32"
"extensor-digitorum-brevis","created","Musculus extensor digitorum brevis","Fuß","0","0","54"
"extensor-hallucis-brevis","created","Musculus extensor hallucis brevis","Fuß","0","0","54"
"abductor-hallucis","created","Musculus abductor hallucis","Fuß","0","0","55"
"flexor-digitorum-brevis","created","Musculus flexor digitorum brevis","Fuß","0","0","55"
"abductor-digiti-minimi-pedis","created","Musculus abductor digiti minimi (pedis)","Fuß","0","0","31"
"quadratus-plantae","created","Musculus quadratus plantae","Fuß","0","0","1697"
"lumbricales-pedis","created","Musculi lumbricales pedis","Fuß","0","0",""
"flexor-hallucis-brevis","created","Musculus flexor hallucis brevis","Fuß","0","0","54"
"adductor-hallucis","created","Musculus adductor hallucis","Fuß","0","0","55"
"flexor-digiti-minimi-brevis-pedis","created","Musculus flexor digiti minimi brevis (pedis)","Fuß","0","0","887"
"interossei-dorsales-pedis","created","Musculi interossei dorsales pedis","Fuß","0","0",""
"interossei-plantares","created","Musculi interossei plantares","Fuß","0","0",""
"levator-ani","created","Musculus levator ani","Beckenboden","0","0","47"
"coccygeus","created","Musculus coccygeus","Beckenboden","0","0","47"
"sphincter-ani-externus","created","Musculus sphincter ani externus","Beckenboden","0","0","1218"
"transversus-perinei-profundus","created","Musculus transversus perinei profundus","Beckenboden","0","0","1219"
"transversus-perinei-superficialis","created","Musculus transversus perinei superficialis","Beckenboden","0","0","1218"
"ischiocavernosus","created","Musculus ischiocavernosus","Beckenboden","0","0","1217"
"bulbospongiosus","created","Musculus bulbospongiosus","Beckenboden","0","0","1217"
"sphincter-urethrae-externus","created","Musculus sphincter urethrae externus","Beckenboden","0","0","1223"
